true_guess / total_guess
979 / 28180
1568 / 49980
2265 / 331780
2743 / 350530
3271 / 369420
3769 / 558320
3977 / 569890
4301 / 787890
4565 / 975390
4989 / 1107090
5152 / 1109908
5152 / 1109908
5276 / 1112088
5315 / 1113405
5386 / 1115280
5462 / 1117169
5609 / 2048446
5739 / 3437720
5748 / 3438585
5756 / 3438611
5904 / 4087892
6044 / 4163978
6044 / 4163978
6135 / 4222838
6182 / 6440604
6256 / 7477083
6378 / 7903528
6378 / 7903528
6403 / 7904685
6443 / 8020385
6446 / 8020739
6532 / 9095479
6596 / 10582122
6599 / 10595292
6669 / 10646295
6740 / 10696920
6779 / 11377675
6779 / 11377675
6785 / 11377797
6785 / 11386447
6821 / 11417686
6821 / 11417686
6821 / 11417686
6843 / 11888889
6868 / 12463045
6913 / 12741643
6914 / 12827474
6925 / 12828914
6928 / 12829964
6929 / 12830027
6949 / 12843157
6949 / 12843157
6951 / 12844087
6951 / 12879344
6961 / 12888044
6962 / 13282563
6966 / 13282589
6972 / 13282634
6976 / 13291934
6980 / 13306334
6986 / 13537314
6991 / 13749448
6994 / 13950604
6995 / 13961104
6997 / 14185456
6999 / 14433143
7000 / 14433733
7006 / 14581462
7012 / 15036711
7016 / 15042171
7051 / 15055301
7056 / 15492126
7057 / 15492270
7058 / 15673681
7063 / 15991078
7069 / 16169848
7069 / 16192338
7074 / 16324862
7076 / 16476402
7082 / 16561716
7082 / 16702620
7082 / 16811962
7083 / 16919558
7083 / 16919558
7083 / 17128023
7085 / 17133923
7087 / 17176814
7092 / 17312627
7094 / 17312643
7101 / 17421998
7103 / 17551530
7103 / 17659397
7112 / 17769299
7117 / 17888178
7118 / 18065776
7118 / 18134070
7118 / 18237743
7118 / 18237802
7118 / 18331374
7118 / 18389946
7118 / 18390236
7127 / 18396502
7127 / 18396521
7128 / 18396583
7129 / 18452676
7129 / 18572973
7132 / 18667633
7135 / 18667738
7143 / 18752900
7143 / 18833494
7144 / 18918798
7145 / 18964647
7146 / 19068729
7149 / 19110310
7149 / 19141576
7149 / 19141669
7152 / 19144295
7154 / 19197811
7159 / 19249174
7160 / 19293527
7161 / 19302731
7161 / 19302799
7161 / 19302886
7161 / 19363728
7161 / 19441191
7164 / 19446651
7171 / 19519776
7171 / 19590768
7171 / 19616294
7172 / 19685931
7176 / 19768461
7176 / 19857715
7178 / 19878160
7181 / 19955419
7181 / 19993756
7182 / 20070092
7182 / 20070352
7182 / 20102485
7185 / 20173994
7185 / 20217152
7185 / 20234557
7185 / 20303026
7185 / 20306914
7185 / 20329086
7185 / 20342216
7186 / 20376032
